1,1,8,2,1,236,0,1,6,430,438
1,1,8,2,2,277,0,1,13,439,455
1,1,8,2,3,318,0,2,18,431,452
1,1,8,2,4,359,0,2,25,434,462
1,1,8,2,5,400,0,3,31,431,466
1,1,8,2,6,441,0,4,36,433,474
1,1,8,2,7,482,0,4,43,434,482
1,1,8,2,8,523,0,5,48,433,487
1,1,8,2,9,564,0,5,61,447,514
1,1,8,2,10,605,0,6,64,439,510
1,1,8,2,11,646,0,7,68,434,509
1,1,8,2,12,687,0,7,76,439,524
2,1,8,1,1,107,0,0,6,222,229
2,1,8,2,2,211,0,1,12,432,447
2,1,8,2,3,252,0,2,25,432,459
2,1,8,2,4,293,0,2,37,432,473
2,1,8,2,5,334,0,3,50,432,486
2,1,8,2,6,375,0,4,63,433,501
2,1,8,2,7,416,0,4,77,438,520
2,1,8,2,8,457,0,5,89,435,529
2,1,8,2,9,498,0,5,98,432,536
2,1,8,2,10,539,0,6,113,436,556
2,1,8,2,11,580,0,6,126,435,568
2,1,8,2,12,621,0,7,135,432,576
3,1,8,2,1,236,0,0,6,431,439
3,1,8,2,2,277,0,1,12,433,447
3,1,8,2,3,382,0,2,19,645,666
3,1,8,2,4,487,0,2,25,854,882
3,1,8,2,5,592,0,3,31,1070,1105
3,1,8,2,6,697,0,4,36,1272,1313
3,1,8,2,7,802,0,4,42,1482,1529
3,1,8,2,8,907,0,5,49,1695,1750
3,1,8,2,9,1012,0,5,54,1906,1965
3,1,8,2,10,1117,0,6,60,2127,2194
3,1,8,2,11,1222,0,6,65,2324,2397
3,1,8,2,12,1327,0,7,73,2546,2627
4,1,8,1,1,107,0,1,7,216,225
4,1,8,2,2,211,0,1,13,432,447
4,1,8,2,3,316,0,2,25,643,671
4,1,8,2,4,421,0,3,38,858,900
4,1,8,2,5,526,0,3,53,1078,1134
4,1,8,2,6,631,0,4,61,1274,1340
4,1,8,2,7,736,0,4,75,1496,1576
4,1,8,2,8,841,0,5,86,1697,1788
4,1,8,2,9,946,0,5,98,1904,2009
4,1,8,2,10,1051,0,6,113,2133,2253
4,1,8,2,11,1156,0,7,123,2330,2460
4,1,8,2,12,1261,0,7,134,2540,2682
5,1,8,2,1,172,0,0,6,473,480
5,1,8,2,2,213,0,1,12,475,490
5,1,8,2,3,254,0,2,19,597,619
5,1,8,2,4,295,0,2,25,705,733
5,1,8,2,5,336,0,3,30,808,842
5,1,8,2,6,377,0,3,38,938,980
5,1,8,2,7,418,0,4,43,1045,1093
5,1,8,2,8,459,0,5,48,1162,1216
5,1,8,2,9,500,0,5,54,1266,1326
5,1,8,2,10,541,0,6,60,1386,1452
5,1,8,2,11,582,0,6,67,1505,1580
5,1,8,2,12,623,0,7,72,1614,1695
6,1,8,1,1,107,0,1,6,231,239
6,1,8,2,2,211,0,2,13,454,469
6,1,8,2,3,316,0,2,24,661,688
6,1,8,2,4,421,0,3,37,877,917
6,1,8,2,5,526,0,3,48,1089,1142
6,1,8,2,6,631,0,4,60,1298,1363
6,1,8,2,7,736,0,4,72,1510,1587
6,1,8,2,8,841,0,5,85,1730,1822
6,1,8,2,9,946,0,6,96,1931,2033
6,1,8,2,10,1051,0,6,108,2147,2262
6,1,8,2,11,1156,0,7,118,2355,2482
6,1,8,2,12,1261,0,8,131,2567,2707
1,2,8,2,1,268,0,1,8,2838,2848
1,2,8,2,2,405,0,2,13,2827,2844
1,2,8,2,3,542,0,3,20,2814,2837
1,2,8,2,4,679,0,4,26,2832,2863
1,2,8,2,5,816,0,5,31,2807,2844
1,2,8,2,6,953,0,5,37,2827,2870
1,2,8,2,7,1090,0,6,43,2821,2872
1,2,8,2,8,1227,0,8,50,2898,2957
1,2,8,2,9,1364,0,8,55,2839,2903
1,2,8,2,10,1501,0,9,62,2876,2949
1,2,8,2,11,1638,0,10,67,2829,2907
1,2,8,2,12,1775,0,11,72,2846,2930
2,2,8,1,1,107,0,1,8,1978,1988
2,2,8,2,2,147,0,2,14,2852,2869
2,2,8,2,3,284,0,3,26,2823,2853
2,2,8,2,4,421,0,4,38,2834,2877
2,2,8,2,5,558,0,5,50,2843,2899
2,2,8,2,6,695,0,5,63,2855,2924
2,2,8,2,7,832,0,6,75,2819,2901
2,2,8,2,8,969,0,7,86,2913,3008
2,2,8,2,9,1106,0,8,101,2822,2932
2,2,8,2,10,1243,0,9,111,2824,2945
2,2,8,2,11,1380,0,10,125,2850,2986
2,2,8,2,12,1517,0,11,137,2836,2985
3,2,8,2,1,268,0,1,8,2817,2827
3,2,8,2,2,405,0,2,13,2812,2828
3,2,8,2,3,542,0,3,21,3893,3918
3,2,8,2,4,679,0,4,27,4718,4750
3,2,8,2,5,816,0,5,33,5614,5652
3,2,8,2,6,953,0,6,41,6792,6839
3,2,8,2,7,1090,0,7,46,7561,7615
3,2,8,2,8,1227,0,8,53,8410,8472
3,2,8,2,9,1364,0,9,59,9344,9412
3,2,8,2,10,1501,0,9,65,10301,10377
3,2,8,2,11,1638,0,11,76,11261,11349
3,2,8,2,12,1775,0,11,80,12231,12323
4,2,8,1,1,107,0,1,7,1923,1932
4,2,8,2,2,147,0,2,14,2852,2869
4,2,8,2,3,284,0,3,27,3766,3796
4,2,8,2,4,421,0,4,40,4724,4769
4,2,8,2,5,558,0,5,53,5617,5676
4,2,8,2,6,695,0,6,66,6683,6756
4,2,8,2,7,832,0,7,78,7462,7548
4,2,8,2,8,969,0,8,92,8501,8602
4,2,8,2,9,1106,0,9,103,9343,9456
4,2,8,2,10,1243,0,10,117,10229,10356
4,2,8,2,11,1380,0,11,132,11216,11361
4,2,8,2,12,1517,0,12,142,12151,12305
5,2,8,2,1,268,0,1,8,2523,2533
5,2,8,2,2,405,0,2,15,2578,2595
5,2,8,2,3,542,0,3,20,2858,2883
5,2,8,2,4,679,0,4,27,3116,3148
5,2,8,2,5,816,0,5,32,3395,3433
5,2,8,2,6,953,0,6,39,3757,3802
5,2,8,2,7,1090,0,7,44,3988,4040
5,2,8,2,8,1227,0,8,51,4337,4396
5,2,8,2,9,1364,0,11,56,4648,4716
5,2,8,2,10,1501,0,9,63,4894,4967
5,2,8,2,11,1638,0,10,68,5243,5322
5,2,8,2,12,1775,0,11,74,5463,5550
6,2,8,1,1,107,0,1,8,1919,1929
6,2,8,2,2,211,0,2,15,2858,2876
6,2,8,2,3,412,0,3,28,3809,3841
6,2,8,2,4,613,0,4,41,4799,4845
6,2,8,2,5,814,0,6,53,5724,5784
6,2,8,2,6,1015,0,7,66,6572,6645
6,2,8,2,7,1216,0,7,78,7744,7831
6,2,8,2,8,1417,0,9,89,8514,8613
6,2,8,2,9,1618,0,9,102,9346,9459
6,2,8,2,10,1819,0,10,116,10344,10471
6,2,8,2,11,2020,0,11,128,11271,11412
6,2,8,2,12,2221,0,12,141,12174,12328
